IMDB_ID,TITLE_TW,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRECTOR_RANK,DIRECTOR_SCORE,STAR_1,STAR_1_RANK,STAR_1_SCORE,STAR_2,STAR_2_RANK,STAR_2_SCORE,STAR_3,STAR_3_RANK,STAR_3_SCORE,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt2948356,動物方城市,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1386697,自殺突擊隊,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5311514,你的名字,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2975590,蝙蝠俠對超人：正義曙光,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3110958,出神入化2,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3385516,X戰警：天啟,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2513074,比利‧林恩的中場戰事,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1628841,ID4星際重生,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3783958,樂來越愛你,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2709768,寵物當家,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2277860,海底總動員2：多莉去哪兒,,,,,,,,,,,,,,,,,,,,,,,,,,
tt4196776,神鬼認證：傑森包恩,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1663202,神鬼獵人,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5112622,寒戰2,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3065204,厲陰宅2,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0803096,魔獸：崛起,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2674426,我就要你好好的,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2140479,會計師,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3300542,全面攻佔2：倫敦救援,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2119532,鋼鐵英雄,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1292566,單身啪啪啪,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1935859,怪奇孤兒院,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3263904,薩利機長：哈德遜奇蹟,,,,,,,,,,,,,,,,,,,,,,,,,,
tt5735582,樓下的房客,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3393786,神隱任務：永不回頭,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2034800,長城,,,,,,,,,,,,,,,,,,,,,,,,,,
tt6075688,大尾鱸鰻2,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3062096,地獄,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3748528,星際大戰外傳：俠盜一號,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2094766,刺客教條,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0810819,丹麥女孩,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3040964,與森林共舞,,,,,,,,,,,,,,,,,,,,,,,,,,
tt1355644,星際過客,,,,,,,,,,,,,,,,,,,,,,,,,,
tt2660888,星際爭霸戰：浩瀚無垠,,,,,,,,,,,,,,,,,,,,,,,,,,
tt3522806,極速秒殺2,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0918940,泰山傳奇,,,,,,,,,,,,,,,,,,,,,,,,,,
