IMDB_ID,TITLE_TW,NICK_NAME,TITLE_EN,DATE_TW,COUNTRY,IMDB_RATING,IMDB_GENRE,IMDB_BUDGET,IMDB_RUNTIME,DIRECTOR,DIRETCOR_OSCAR,DIRECTOR_WINS,DIRECTOR_NOMINATIONS,DIRECTOR_RATINGS,STAR_1,STAR_1_OSCARS,STAR_1_WINS,STAR_1_NOMINATIONS,STAR_1_RATINGS,STAR_2,STAR_2_OSCARS,STAR_2_WINS,STAR_2_NOMINATIONS,STAR_2_RATINGS,STAR_3,STAR_3_OSCARS,STAR_3_WINS,STAR_3_NOMINATIONS,STAR_3_RATINGS,YAHOO_EVALUATION,YAHOO_VOTER,PTT_ARTICLE,PTT_PUSH,PTT_ARROW,PTT_PULL,PTT_REPLY,YOUTUBE_VIEW,YOUTUBE_LIKE,YOUTUBE_DISLIKE
tt1524930,全家玩到趴,全家玩到趴,Vacation,2015/7/29,USA,6.1,"Adventure,Comedy",31000000,99,John Francis Daley,0,0,7,7.3,Ed Helms,0,4,11,7.825,Christina Applegate,0,14,24,7.025,Skyler Gisondo,0,2,4,6.5,4.3,210,0,0,0,0,0,833185,294,12
tt2072230,進擊的巨人1,進擊的巨人1/進擊巨人/進擊的巨人,Shingeki no kyojin,2015/8/1,Japan,5.1,"Action,Adventure,Drama",NA,98,Shinji Higuchi,0,3,2,5.75,Haruma Miura,0,1,1,6.075,Kiko Mizuhara,0,0,0,5.675,Kanata Hong繫,0,0,0,5.775,2.8,370,8,126,67,16,209,259578,426,37
tt2096673,腦筋急轉彎,腦筋急轉彎,Inside Out,2015/8/7,USA,8.2,"Animation,Adventure,Comedy",175000000,95,Pete Docter,0,42,63,8.25,Amy Poehler,0,26,78,7.45,Bill Hader,0,4,21,7.725,Lewis Black,0,6,6,7.825,4.6,745,18,170,101,8,279,278094,412,10
tt4788638,破風,破風,Po feng,2015/8/7,Hong Kong,6.3,"Drama,Sport",NA,125,Dante Lam,0,6,28,6.6,Eddie Peng,0,0,10,6.85,Si Won Choi,0,0,0,6.65,Shawn Dou,0,0,2,6.925,4.7,1119,10,102,50,26,178,495907,1005,38
tt1502712,驚奇4超人2015,驚奇4超人2015/驚奇4超人,Fantastic Four,2015/8/7,"USA,Germany",4.3,"Action,Adventure,Sci-Fi",120000000,100,Josh Trank,0,1,2,5.566666667,Miles Teller,0,4,21,6.75,Kate Mara,0,2,4,7.45,Michael B. Jordan,0,19,36,6.625,2.3,365,20,331,570,97,998,186430,244,18
tt4967094,我的少女時代,我的少女時代/少女時代,Our Times,2015/8/13,Taiwan,7.4,"Comedy,Romance",NA,134,Yu Shan Chen,0,0,3,6.8,Vivian Sung,0,1,1,6.933333333,Darren Wang,0,0,0,6.4,Joe Chen,0,0,2,6.675,4.7,7016,12,388,176,9,573,5009619,10000,305
tt1638355,紳士密令,紳士密令,The Man from U.N.C.L.E.,2015/8/14,"USA,UK",7.3,"Action,Adventure,Comedy",75000000,116,Guy Ritchie,0,8,10,7.775,Henry Cavill,0,2,11,6.75,Armie Hammer,0,6,12,7.25,Alicia Vikander,0,51,55,7.175,4.7,479,4,24,15,1,40,759525,313,17
tt5735218,屍憶,屍憶,Shi yi,2015/8/20,Taiwan,5.2,"Horror,Thriller",NA,88,Lingo Hsieh,0,0,1,5.1,Kang Ren Wu,0,4,3,6.6,Nikki Hsieh,0,2,1,5.875,Reina Ikehata,0,0,0,6.425,4.5,501,6,64,26,3,93,361426,383,18
tt3508840,刺客聶隱娘,刺客聶隱娘,C穫k癡 Ni癡 Yinni獺ng,2015/8/28,"Taiwan,China,Hong Kong,France",6.4,"Action,Drama,History",15000000,105,Hsiao-Hsien Hou,0,54,43,6.975,Qi Shu,0,11,27,6.75,Chen Chang,0,0,9,7.3,Yun Zhou,0,1,0,6.8,3.2,394,9,86,39,5,130,270193,364,27
tt2679042,刺客任務：殺手47,刺客任務：殺手47/刺客任務/殺手47,Hitman: Agent 47,2015/8/28,"USA,UK,Germany",5.7,"Action,Adventure,Crime",35000000,96,Aleksander Bach,0,0,0,5.7,Rupert Friend,0,1,8,7.4,Hannah Ware,0,0,0,6.675,Zachary Quinto,0,10,23,7.55,4.2,248,7,66,79,4,149,290016,545,11
tt2938956,玩命快遞：肆意橫行,玩命快遞：肆意橫行/玩命快遞/肆意橫行,The Transporter Refueled,2015/9/4,"France,China,Belgium",5.2,"Action,Adventure,Crime",25000000,96,Camille Delamarre,0,4,10,6.1,Ed Skrein,0,1,2,6.525,Loan Chabanol,0,0,0,5.933333333,Ray Stevenson,0,0,1,6.9,4,235,4,65,22,5,92,277812,313,18
